Years,name,code,viewers
2023,England,GBR,480
2022,England,GBR,401
2021,England,GBR,356
2023,Australia,AUS,444.6
2022,Australia,AUS,419.1
2021,Australia,AUS,0
2023,United States,USA,351
2022,United States,USA,440
2021,United States,USA,400
2023,Mexico,MEX,400.6
2022,Mexico,MEX,395.9
2021,Mexico,MEX,371
2023,Belgium,BEL,380
2022,Belgium,BEL,360
2021,Belgium,BEL,213
2023,Canada,CAN,345
2022,Canada,CAN,338
2021,Canada,CAN,0
2023,Netherlands,NLD,305
2022,Netherlands,NLD,305
2021,Netherlands,NLD,195
2023,Italy,ITA,304.1
2022,Italy,ITA,337
2021,Italy,ITA,0
2023,Austria,AUT,304
2022,Austria,AUT,303
2021,Austria,AUT,132
2023,Hungary,HUN,303.1
2022,Hungary,HUN,290
2021,Hungary,HUN,130
2023,Spain,ESP,284.1
2022,Spain,ESP,277.8
2021,Spain,ESP,0
2023,Brazil,BRA,267
2022,Brazil,BRA,236
2021,Brazil,BRA,181
2023,Japan,JPN,222
2022,Japan,JPN,200
2021,Japan,JPN,0
2023,Saudi Arabia,SAU,150
2022,Saudi Arabia,SAU,0
2021,Saudi Arabia,SAU,132
2023,Qatar,QAT,120
2022,Qatar,QAT,0
2021,Qatar,QAT,80
2023,UAE,ARE,0
2022,UAE,ARE,160
2021,UAE,ARE,153
